"filename","display_name","section","order","marker","phase","status","notes"
"standing/utthita-hasta-padangusthasana-03.png","UTTHITA HASTA PADANGUSTHASANA","standing","14","03","full","generated","built-in imagegen v1"
"standing/ardha-baddha-padmottanasana.png","ARDHA BADDHA PADMOTTANASANA","standing","15","","full","generated","built-in imagegen v1"
"standing/utkatasana.png","UTKATASANA","standing","16","","full","generated","built-in imagegen v1"
"standing/virabhadrasana-1.png","VIRABADRASANA","standing","17","1","full","generated","built-in imagegen v1"
"standing/virabhadrasana-2.png","VIRABADRASANA","standing","18","2","sample","generated","首批手机端样片"
"seated/dandasana.png","DANDASANA","seated","1","","full","generated","built-in imagegen v1"
"seated/paschimottanasana-a.png","PASCHIMOTTANASANA","seated","2","A","full","generated","built-in imagegen v1"
"seated/paschimottanasana-b.png","PASCHIMOTTANASANA","seated","3","B","full","generated","built-in imagegen v1"
"seated/paschimottanasana-c.png","PASCHIMOTTANASANA","seated","4","C","full","generated","built-in imagegen v1"
"seated/purvottanasana.png","PURVOTTANASANA","seated","5","","full","generated","built-in imagegen v1"
"seated/ardha-baddha-padma-paschimottanasana.png","ARDHA BADDHA PADMA PASCHIMOTTANASANA","seated","6","","full","generated","built-in imagegen v1"
"seated/triang-mukha-eka-pada-paschimottanasana.png","TRIANG MUKHA EKA PADA PASCHIMOTTANASANA","seated","7","","full","generated","built-in imagegen v1"
"seated/janu-sirsasana-a.png","JANU SIRSASANA","seated","8","A","full","generated","built-in imagegen v1"
"seated/janu-sirsasana-b.png","JANU SIRSASANA","seated","9","B","full","generated","built-in imagegen v1"
"seated/janu-sirsasana-c.png","JANU SIRSASANA","seated","10","C","full","generated","built-in imagegen v1"
"seated/marichyasana-a.png","MARICHYASANA","seated","11","A","sample","generated","首批手机端样片"
"seated/marichyasana-b.png","MARICHYASANA","seated","12","B","full","generated","built-in imagegen v1"
"seated/marichyasana-c.png","MARICHYASANA","seated","13","C","full","generated","built-in imagegen v1"
"seated/marichyasana-d.png","MARICHYASANA","seated","14","D","full","generated","built-in imagegen v1"
"seated/navasana.png","NAVASANA","seated","15","","full","generated","built-in imagegen v1"
"seated/bhujapidasana-01.png","BUJAPIDASANA","seated","16","01","full","generated","built-in imagegen v1"
"seated/bhujapidasana-02.png","BUJAPIDASANA","seated","17","02","full","generated","built-in imagegen v1"
"seated/kurmasana.png","KURMASANA","seated","18","","full","generated","built-in imagegen v1"
"seated/supta-kurmasana.png","SUPTA KURMASANA","seated","19","","full","generated","built-in imagegen v1"
"seated/garbha-pindasana.png","GARBHA PINDASANA","seated","20","","full","generated","built-in imagegen v1"
"seated/kukkutasana.png","KUKKUTASANA","seated","21","","full","generated","built-in imagegen v1"
"seated/baddha-konasana-a.png","BADDHAKONASANA","seated","22","A","full","generated","built-in imagegen v1"
"seated/baddha-konasana-b.png","BADDHAKONASANA","seated","23","B","full","generated","built-in imagegen v1"
"seated/baddha-konasana-c.png","BADDHAKONASANA","seated","24","C","full","generated","built-in imagegen v1"
"seated/upavishta-konasana-01.png","UPAVISTHA KONASANA","seated","25","01","full","generated","built-in imagegen v1"
"seated/upavishta-konasana-02.png","UPAVISTHA KONASANA","seated","26","02","full","generated","built-in imagegen v1"
"seated/supta-konasana-01.png","SUPTA KONASANA","seated","27","01","full","generated","built-in imagegen v1"
"seated/supta-konasana-02.png","SUPTA KONASANA","seated","28","02","full","generated","built-in imagegen v1"
"seated/supta-padangusthasana-01.png","SUPTA PADANGUSTHASANA","seated","29","01","sample","generated","首批手机端样片"
"seated/supta-padangusthasana-02.png","SUPTA PADANGUSTHASANA","seated","30","02","full","generated","built-in imagegen v1"
"seated/ubhaya-padangusthasana-01.png","UBHAYA PADANGUSTHASANA","seated","31","01","full","generated","built-in imagegen v1"
"seated/ubhaya-padangusthasana-02.png","UBHAYA PADANGUSTHASANA","seated","32","02","full","generated","built-in imagegen v1"
"seated/urdhva-mukha-paschimottanasana-01.png","URDVA MUKHA PASCHIMOTTANASANA","seated","33","01","full","generated","built-in imagegen v1"
"seated/urdhva-mukha-paschimottanasana-02.png","URDVA MUKHA PASCHIMOTTANASANA","seated","34","02","full","generated","built-in imagegen v1"
"seated/setu-bandhasana.png","SETU BANDHASANA","seated","35","","full","generated","built-in imagegen v1"
"finishing/urdhva-dhanurasana.png","URDVA DANURASANA","finishing","1","","full","generated","built-in imagegen v1"
"finishing/paschimottanasana.png","PASCHIMOTTANASANA","finishing","2","","full","generated","built-in imagegen v1"
"finishing/sarvangasana.png","SARVANGASANA","finishing","3","","full","generated","built-in imagegen v1"
"finishing/halasana.png","HALASANA","finishing","4","","full","generated","built-in imagegen v1"
"finishing/karnapidasana.png","KARNAPIDASANA","finishing","5","","full","generated","built-in imagegen v1"
"finishing/urdhva-padmasana.png","URDVA PADMASANA","finishing","6","","full","generated","built-in imagegen v1"
"finishing/pindasana.png","PINDASANA","finishing","7","","full","generated","built-in imagegen v1"
"finishing/matsyasana.png","MATSYASANA","finishing","8","","full","generated","built-in imagegen v1"
"finishing/uttana-padasana.png","UTTANA PADASANA","finishing","9","","full","generated","built-in imagegen v1"
"finishing/sirsasana.png","SIRSASANA","finishing","10","","sample","generated","首批手机端样片"
"finishing/baddha-padmasana.png","BADDHA PADMASANA","finishing","11","","full","generated","built-in imagegen v1 (description fallback)"
"finishing/yoga-mudra.png","YOGA MUDRA","finishing","12","","full","generated","built-in imagegen v1"
"finishing/padmasana.png","PADMASANA","finishing","13","","full","generated","built-in imagegen v1"
"finishing/utpluthih.png","UTPLUTHIH","finishing","14","","full","generated","built-in imagegen v1"
"finishing/savasana.png","SAVASANA","finishing","15","","sample","generated","首批手机端样片"
