filename,display_name,section,order,marker
seated/marichyasana-c.png,MARICHYASANA,seated,13,C
seated/marichyasana-d.png,MARICHYASANA,seated,14,D
seated/navasana.png,NAVASANA,seated,15,
seated/bhujapidasana-02.png,BUJAPIDASANA,seated,16,02
seated/kurmasana.png,KURMASANA,seated,17,
seated/supta-kurmasana.png,SUPTA KURMASANA,seated,18,
seated/garbha-pindasana.png,GARBHA PINDASANA,seated,19,
seated/kukkutasana.png,KUKKUTASANA,seated,20,
seated/baddha-konasana-a.png,BADDHAKONASANA,seated,21,A
seated/baddha-konasana-b.png,BADDHAKONASANA,seated,22,B
seated/upavishta-konasana-01.png,UPAVISTHA KONASANA,seated,23,01
seated/upavishta-konasana-02.png,UPAVISTHA KONASANA,seated,24,02
seated/supta-konasana-01.png,SUPTA KONASANA,seated,25,01
seated/supta-konasana-02.png,SUPTA KONASANA,seated,26,02
seated/supta-padangusthasana-01.png,SUPTA PADANGUSTHASANA,seated,27,01
seated/supta-padangusthasana-02.png,SUPTA PADANGUSTHASANA,seated,28,02
seated/ubhaya-padangusthasana-02.png,UBHAYA PADANGUSTHASANA,seated,29,02
seated/urdhva-mukha-paschimottanasana-02.png,URDVA MUKHA PASCHIMOTTANASANA,seated,30,02
seated/setu-bandhasana.png,SETU BANDHASANA,seated,31,
seated/urdhva-dhanurasana.png,URDVA DANURASANA,seated,32,
seated/paschimottanasana.png,PASCHIMOTTANASANA,seated,33,
finishing/sarvangasana.png,SARVANGASANA,finishing,1,
finishing/halasana.png,HALASANA,finishing,2,
finishing/karnapidasana.png,KARNAPIDASANA,finishing,3,
finishing/urdhva-padmasana.png,URDVA PADMASANA,finishing,4,
finishing/pindasana.png,PINDASANA,finishing,5,
finishing/matsyasana.png,MATSYASANA,finishing,6,
finishing/uttana-padasana.png,UTTANA PADASANA,finishing,7,
finishing/sirsasana-01.png,SIRSASANA,finishing,8,01
finishing/sirsasana-02.png,SIRSASANA,finishing,9,02
finishing/baddha-padmasana.png,BADDHA PADMASANA,finishing,10,
finishing/padmasana.png,PADMASANA,finishing,11,
finishing/utpluthih.png,UTPLUTHIH,finishing,12,
finishing/savasana.png,SAVASANA,finishing,13,
